unitid,year,f1b01,f1b02,f1b03,f1c011,f1d01,f2e011,f2b01,f2b04
121178,2017,0,0,0,0,306305701,,,
121363,2017,934197,477355,5677607,14002814,,,,
121619,2017,7949631,0,0,71912012,,,,
121707,2017,3134440,1771859,7139312,21221605,51448235,,,
121886,2017,6404094,0,0,53883232,138766242,,,
121901,2017,9084630,0,0,59826292,160048108,,,
122180,2017,8251788,2424075,16417477,61260694,,,,
122205,2017,24221989,1821797,18674131,68260507,,,,
122320,2017,19739054,11265293,32210906,255558293,601593587,,,
122339,2017,6018243,2066380,5908409,68401594,123662063,,,
122375,2017,6766455,2323280,6642967,86107004,136797167,,,
122384,2017,3893711,1336916,3822651,51210546,77807463,,,
122409,2017,214530073,109497,103325,214617564,624373752,,,
122597,2017,129985080,20748967,2129148,198766623,490573325,,,
122658,2017,6601628,6883073,29182042,49650528,177441183,,,
122737,2017,0,0,1774985,0,203405308,,,
122746,2017,4614600,1588224,6796119,40590352,,,,
122755,2017,191312494,0,0,218855675,551674266,,,
122782,2017,4620436,0,0,23018826,59857084,,,
122791,2017,6549924,0,0,32641648,84853309,,,
122889,2017,25776569,0,0,84018064,173351431,,,
122977,2017,60674747,0,0,120026926,281511809,,,
123013,2017,15758412,3397952,23279536,94205475,205283617,,,
123217,2017,3782191,0,0,43533989,115015407,,,
123299,2017,4361863,1805284,13930769,23214202,82446869,,,
123341,2017,14734807,1905954,21663285,47243221,150678578,,,
123484,2017,2052996,793238,3697153,13563529,36173479,,,
123493,2017,1323420,0,428277,1556516,,,,
123509,2017,6929532,0,0,34533431,89771077,,,
123527,2017,4962521,0,0,31888500,,,,
123563,2017,4239012,0,0,49362264,109735414,,,
123572,2017,51269055,6705146,613941,63484489,203310656,,,
123800,2017,4638849,4750939,6149523,56059831,183305524,,,
123925,2017,0,823768,5127476,0,309972631,,,
124113,2017,1899497,0,0,15847231,54314368,,,
124557,2017,35249000,30296000,48781000,596465683,36263079000,,,
125019,2017,2051024,0,0,13005370,270749045,,,
125028,2017,4820018,0,0,32216044,,,,
125091,2017,3452149,0,0,40699045,118617316,,,
125170,2017,4551062,2075489,9940451,14046214,,,,
125222,2017,7634999,0,0,41798784,195351771,,,
125462,2017,890298,4362432,7838819,8204857,,,,
125471,2017,6715034,1531437,6028956,40392272,,,,
126100,2017,0,3418135,10307390,0,201676223,,,
126119,2017,1875965,1813134,9528706,29049091,91245072,,,
126182,2017,18439626,5435355,13765117,32422618,60112908,,,
126207,2017,9680782,1457742,3164996,43397392,81982235,,,
126289,2017,30167088,1330090,3481436,22571690,53468086,,,
126562,2017,258939063,312928675,114499336,546894415,2076614300,,,
126580,2017,118718532,7110538,15863107,83025787,227336215,,,
126614,2017,616323149,375028214,49032601,534528412,1583329220,,,
126711,2017,8679782,3009828,2117853,44696528,80692018,,,
126748,2017,5261266,22552,555951,5828335,15793627,,,
126775,2017,123886469,37372831,19478193,94588881,271184910,,,
126818,2017,438129184,218714116,106987631,284593336,1143626983,,,
126863,2017,21784164,1458308,7698729,20060159,40885374,,,
126915,2017,899847,321223,1196606,2637330,,,,
126942,2017,28094108,2577554,10886157,25395162,57746049,,,
127158,2017,8481062,0,0,13172405,,,,
127185,2017,15286911,2500314,19227314,27484640,77623118,,,
127200,2017,70795068,4391613,9704160,50772730,126526435,,,
127389,2017,2068943,240351,1839262,3109992,10219201,,,
127556,2017,67108772,1124836,17093019,41754341,157891323,,,
127565,2017,111790778,6906013,40336247,92241555,208366071,,,
127617,2017,3908880,321023,2797463,5844993,12188775,,,
127732,2017,5166513,843341,1378388,6797878,20094768,,,
127741,2017,113365937,6461404,32055948,108901662,237526142,,,
127778,2017,2845560,1711460,1233521,6947464,23015815,,,
127820,2017,42964677,2154810,9571203,45744903,91872730,,,
127884,2017,15997893,2208668,5084033,23918866,45471907,,,
127909,2017,32426458,5117997,9272613,32568611,61228917,,,
128106,2017,36358258,7017613,13946850,24533948,86518699,,,
128151,2017,1597707,0,0,4271718,,,,
128258,2017,4200600,1931329,1566546,5330408,18151799,,,
128300,2017,0,0,0,45241597,320293462,,,
128328,2017,0,46100000,0,137483447,,,,
128391,2017,23603467,620219,1631828,23316584,62734690,,,
128577,2017,4150227,565467,448469,10832286,25833090,,,
128771,2017,84179100,1521510,4242636,116642045,247757146,,,
128780,2017,8222480,0,264100,5400419,14428738,,,
129020,2017,384783443,157418172,38653737,609272233,2616111427,,,
129215,2017,33400814,515590,1260537,54104017,136017324,,,
129367,2017,4411834,1626603,1062553,16068827,36371157,,,
129543,2017,7692292,879704,1364443,18221860,49956212,,,
129695,2017,14193486,8020593,1617252,25316941,64624790,,,
129729,2017,13448233,2835983,2268263,28430840,70141192,,,
129756,2017,5836746,278856,664824,11171563,26167117,,,
129808,2017,7603929,459272,1192697,17311036,38043798,,,
130004,2017,14176598,1018309,1377603,23389186,56343677,,,
130040,2017,2341610,621290,373373,6938058,19428094,,,
130217,2017,2549419,101600,1034497,7182972,19439698,,,
130396,2017,13176174,1052952,2224108,29407079,64247692,,,
130493,2017,85211001,1811900,4003243,108512871,238237972,,,
130606,2017,8166948,1183253,925665,15569097,36161845,,,
130624,2017,6854332,1818633,1092933,20308999,56869681,,,
130776,2017,42859561,0,0,61383911,151751864,,,
130882,2017,1365,1590585,0,3879462,18529353,,,
130907,2017,49984875,4818867,21541865,84856209,174822603,,,
130934,2017,31171796,20187909,0,54035847,136887079,,,
131399,2017,34424134,15761269,0,41290395,159465059,,,
132374,2017,3873957,0,0,25624594,,,,
132675,2017,313827,292788,249988,1060947,,,,
132693,2017,20479923,2310058,4085183,53875723,122567763,,,
132709,2017,49742222,10463887,3309591,110010313,299392256,,,
132851,2017,7287309,2613443,87898,23281921,66453165,,,
132903,2017,313265162,90185816,6186498,386150770,1115423037,,,
132976,2017,599971,0,0,2452359,,,,
133021,2017,2491800,474187,164746,8735005,25578071,,,
133155,2017,1004253,0,0,4626225,,,,
133386,2017,19970414,3494864,915634,54294333,137517822,,,
133508,2017,17043259,979080,2325674,39896931,103115416,,,
133650,2017,42611238,36359912,6452574,83541069,279405643,,,
133669,2017,157295040,27989154,14641654,182753350,556358783,,,
133702,2017,37211161,0,0,77582577,182546308,,,
133951,2017,295346205,72588869,8165979,348796673,967070478,,,
133960,2017,2444592,606055,13690,6597104,14901993,,,
134097,2017,248667973,142633415,21013022,399267209,1172488824,,,
134130,2017,430586000,432731000,43999000,782407000,2973563000,,,
134291,2017,635378,0,85023,3770357,,,,
134307,2017,1041909,0,0,2315671,,,,
134343,2017,5384390,2420342,0,22559940,45412075,,,
134495,2017,43802420,3047323,927844,67538460,186882153,,,
134608,2017,17058280,502068,0,63944956,127565823,,,
135160,2017,3129999,512652,10478,11117924,26173910,,,
135179,2017,1878621,0,0,4618424,,,,
135188,2017,6234666,71511,169701,11667351,33386202,,,
135267,2017,2254838,1060010,0,3196741,,,,
135276,2017,649052,176791,0,2892740,,,,
135294,2017,1048148,0,0,3247618,,,,
135391,2017,16434256,645811,0,26727010,76628924,,,
135407,2017,2033091,1153099,38603,10226204,,,,
135522,2017,924906,0,0,4722213,,,,
135647,2017,3081843,0,0,3624112,,,,
135717,2017,78482864,28506609,3103637,199042545,516231605,,,
135735,2017,1298247,539397,562572,7659454,,,,
136145,2017,843821,892034,150642,5225987,13534049,,,
136172,2017,78081190,5014762,1913223,104036915,278519314,,,
136233,2017,8778267,25130,222270,20700680,46039246,,,
136303,2017,672368,398959,27022,4299747,,,,
136358,2017,39290930,4959371,1042526,78419334,185612112,,,
