unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
117706,2017,1225,,5390,7812,71
117715,2017,221,,5252,6132,87
117724,2017,526,,4738,5875,72
117733,2017,736,,5510,4998,74
117751,2017,168,26809,18498,6405,98
117788,2017,463,,4902,8379,72
117803,2017,0,,,,
117867,2017,547,,4846,7036,77
117894,2017,728,,4422,5163,57
117928,2017,52,24834,6377,6452,92
117946,2017,1328,42459,19787,7516,82
117955,2017,140,15258,4704,5308,72
118134,2017,20,15939,5565,5956,55
118143,2017,15,17580,6033,6955,73
118161,2017,36,16349,4596,8655,47
118189,2017,129,18444,5815,9500,100
118198,2017,359,16465,4019,4273,65
118259,2017,435,23216,4378,8611,83
118277,2017,684,26449,4476,9053,71
118286,2017,785,25727,4566,8022,82
118347,2017,304,,4602,1732,52
118541,2017,219,30179,20059,6982,85
118684,2017,176,,5346,5519,77
118693,2017,146,29845,26781,6689,98
118718,2017,1194,,5503,,79
118772,2017,264,,5118,4522,52
118888,2017,175,26086,35560,6459,100
118912,2017,1204,,4942,4396,61
118930,2017,325,,4830,5444,46
118958,2017,22,12888,5945,5384,68
118967,2017,488,21349,4001,8146,76
118976,2017,1452,,4914,,79
118994,2017,126,12515,4810,10155,88
119058,2017,0,,,,
119067,2017,619,,5171,5960,66
119137,2017,1747,,4606,5146,41
119164,2017,2691,,5133,5024,69
119173,2017,542,28910,23270,4639,99
119216,2017,1495,,4733,,76
119270,2017,220,36165,4612,5752,33
119331,2017,589,,3940,5399,61
119553,2017,174,24165,5369,7763,78
119605,2017,23,23232,3797,2038,26
119775,2017,36,35402,6144,7726,47
119845,2017,58,11835,4982,5713,43
119951,2017,144,16757,4358,6725,75
120069,2017,352,27025,3974,7968,96
120078,2017,951,23857,3831,6710,78
120087,2017,265,25841,3535,6378,87
120184,2017,156,28167,23394,6264,97
120254,2017,502,33738,35704,7512,69
120272,2017,9,14183,4501,5696,67
120290,2017,785,,4555,5917,41
120342,2017,2421,,5288,4494,54
120403,2017,203,42699,17640,8030,90
120421,2017,571,,5360,,87
120537,2017,104,25150,17410,7234,93
120661,2017,815,22105,3604,7679,68
120698,2017,0,,,,
120768,2017,0,,,,
120838,2017,2,,,,0
120865,2017,251,22327,18910,7208,100
120883,2017,723,32715,26884,6579,97
120953,2017,61,,4305,,82
120971,2017,1797,,4556,2839,61
121044,2017,3259,,5434,4496,60
121150,2017,743,36372,31980,8504,83
121257,2017,268,26935,41257,4749,42
121275,2017,51,37753,5489,8516,65
121309,2017,594,31349,16687,7067,89
121345,2017,411,18427,48930,6561,57
121363,2017,480,,5882,,82
121433,2017,69,12719,5911,2356,75
121619,2017,1683,,3704,3498,85
121637,2017,22,8385,4725,,45
121691,2017,585,32923,30419,8470,97
121707,2017,370,,5332,4862,78
121859,2017,85,12217,4863,7131,79
121868,2017,41,10433,4585,6030,88
121886,2017,993,,5239,6032,82
121901,2017,1543,,4877,4479,75
121983,2017,3,25517,3779,6750,67
121992,2017,331,6448,4372,,31
122117,2017,0,,,,
122180,2017,1141,,4571,6155,76
122205,2017,1433,,4103,4414,40
122296,2017,0,,,,
122339,2017,903,,5698,3668,86
122366,2017,27,27481,4357,14600,30
122375,2017,1337,,4918,4485,65
122384,2017,691,,4768,3190,58
122409,2017,4812,,7549,6485,44
122436,2017,1133,38592,24364,7022,83
122454,2017,61,52451,14603,6100,100
122506,2017,54,37873,25187,8052,98
122597,2017,3531,,8470,5461,69
122612,2017,1584,35270,27943,7945,82
122658,2017,1625,,5443,1176,76
122685,2017,4094,19587,4207,8184,75
122728,2017,199,22503,19528,6701,97
122746,2017,421,,4508,5500,61
122755,2017,3065,,8545,5680,66
122791,2017,806,,4142,7319,33
122834,2017,37,14481,6909,8264,92
122852,2017,9,15789,6701,9475,100
122889,2017,1356,,4553,5419,37
122931,2017,1316,38900,26671,6792,68
122977,2017,3271,,4806,4511,51
123013,2017,1271,,3241,4171,74
123165,2017,270,36831,31633,5184,49
123217,2017,1606,,5560,4022,81
