Religious affiliation,Offers Master's degree,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,Sector of institution,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total enrollment,Undergraduate enrollment,Percent of total enrollment that are White,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are women,"Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,Percent of freshmen receiving student loan aid,Offers Non-Degree,Offers Doctor's degree,Bachelor's degrees awarded Ratio,Master's degrees awarded Ratio,Non-degree awarded Ratio,Doctor's degree awarded Ratio,Average Tuition and Fees,Full-time Enrollment Ratio,Percent of total enrollment that are Minor
Not applicable,TRUE,-1.1079934711436228,-1.116353261747914,Alabama,"Public, 4-year or above",City: Midsize,Research Universities (high research activity),0.8458072767890535,0.7942673818896545,0.2707554268410687,-0.2513322749008039,0.2633147405867752,-1.037758683784276,-0.10215382070353962,-0.1574265052395886,TRUE,TRUE,-0.3397560090232279,0.26630895240694397,-0.004057638123148283,0.4888538336525276,-1.129778862154026,0.13759845102872081,-0.2426675283730257
Roman Catholic,TRUE,0.9044632020107595,0.7494907762829617,Alabama,"Private not-for-profit, 4-year or above",City: Midsize,Master's Colleges and Universities (smaller programs),-0.6001674016868854,-0.5859661856521072,0.3605661833982193,-0.5857443745606473,0.17841377958540636,0.1689660946163732,0.4356472798224156,-0.17325922725744702,TRUE,FALSE,0.3930372702428863,-0.17939914680909744,-0.18057877843694917,-0.4566037509512404,0.7912581465884878,0.4369352562624043,-0.19693632585162257
Presbyterian Church (USA),FALSE,-0.5780234950173999,-1.0925790745884785,Alabama,"Private not-for-profit, 4-year or above",City: Small,Baccalaureate Colleges--Arts & Sciences,-0.6594138903820441,-0.6450895206970813,-2.42356726987345,-0.7529504243905689,-0.7554967914296504,-1.405022746775778,0.3601527693289022,0.5268419021350034,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,-0.3680016312866651,0.9235300653360085,2.638398230475371
United Church of Christ,FALSE,-1.00687117324858,-1.6254454944150223,Alabama,"Private not-for-profit, 4-year or above",Town: Distant,Baccalaureate Colleges--Arts & Sciences,-0.6521008175377401,-0.6355801731024351,-2.468472648152025,-0.7529504243905689,-0.41589294742417526,1.5330897571562376,0.21067363855174584,1.5229767163461982,FALSE,FALSE,1.36442610214421,-1.1206598855429244,-0.506786263499543,-0.4566037509512404,-0.7078985191109118,0.7791579178312539,2.729860635518177
Not applicable,TRUE,-1.2426182932652905,-1.313421222780343,Alabama,"Public, 4-year or above",Rural: Fringe,Master's Colleges and Universities (larger programs),1.4295812655778442,1.4845908906082452,-0.5824467604518623,-0.2513322749008039,0.5180176235908815,-0.880359799645061,-1.1038180991071656,0.49116914156097224,TRUE,TRUE,-0.5043100693663067,0.639208547898813,0.16576586007548835,-0.4261973475262075,-1.1119414576712596,-1.5504152475192061,0.6719565220550368
Not applicable,TRUE,-0.11882375928732786,-0.5219985827620272,Alabama,"Private not-for-profit, 4-year or above",Town: Distant,Baccalaureate Colleges--Diverse Fields,-0.42041419090515175,-0.4079070973581525,-2.6031887829877514,-0.5857443745606473,0.17841377958540636,-0.46062944194048727,0.13366923784836218,-0.33213240336768546,FALSE,TRUE,0.29833159441629864,-0.3807474985411958,-0.506786263499543,1.321184210953964,-0.12513850871361926,0.9869997479107688,2.8670542430823867
Not applicable,TRUE,-1.2124967577220862,-0.9205265233382668,Alaska,"Public, 4-year or above",City: Large,Master's Colleges and Universities (larger programs),1.0893643984732657,1.4934111550438591,-0.04358222110895852,-0.4185383247307256,0.09351281858403755,-1.3000901573496346,-0.9363498955750046,-1.850614120611801,TRUE,TRUE,-1.179252260679005,-0.406087692668199,2.29197981476318,-0.44335188273798704,-1.2177867292234426,-1.8188572510665175,0.12318209179819929
Not applicable,TRUE,-1.3766283901717906,-1.0751064792062428,Alaska,"Public, 4-year or above",Suburb: Small,Research Universities (high research activity),0.22059254188254004,0.3369917975557988,-0.5824467604518623,-0.2513322749008039,0.008611857582668745,-0.8278935049319892,-0.7185626074134628,-1.6708163477742306,TRUE,TRUE,-1.3152478493251956,-0.24383597491704379,2.0703510116328965,0.162682900844588,-1.2102186958311152,-1.7501648747965886,0.6719565220550368
Not applicable,TRUE,-1.2096536536019369,-0.8676313438751051,Alaska,"Public, 4-year or above",Town: Remote,Master's Colleges and Universities (smaller programs),-0.43334455158638496,-0.3995002828179581,-0.3130144907804104,-0.5857443745606473,0.6029185845922503,-2.139550872758782,-1.1497374405413647,-1.8679064390999902,TRUE,FALSE,-2.076516324991103,0.2760539160683657,2.8070344144711816,-0.4566037509512404,-1.2073244054402816,-2.722397468580816,0.48903171196942424
United Methodist,TRUE,0.6747096528419316,0.4640095730431542,Alaska,"Private not-for-profit, 4-year or above",City: Large,Master's Colleges and Universities (smaller programs),-0.6799752835964641,-0.7106902374369594,-0.3130144907804104,-0.7529504243905689,0.6029185845922503,-0.6704946207927741,0.3601527693289022,-0.5217210601925701,TRUE,TRUE,-0.7220285099691679,0.7144599719884935,0.4017669580005898,-0.4566037509512404,0.7467932705100541,-1.6615745425799686,0.5347629144908274
